month,region,cluster,latitude,longitude,trend_line
3,Brazil,0,-14.235,-51.9253,369.250684
3,Russia,3,60.0,90.0,248.844828
3,India,2,21.0,78.0,133.230706
3,Peru,2,-9.19,-75.0152,93.718938
3,Chile,2,-35.6751,-71.543,78.586481
3,Mexico,2,23.6345,-102.5528,55.142310
3,Saudi Arabia,2,24.0,45.0,52.089217
3,Pakistan,1,30.3753,69.3451,36.698686
3,Qatar,1,25.3548,51.1839,36.231527
3,Kuwait,1,29.5,47.75,34.958128
3,Iran,1,32.0,53.0,31.233990
3,Bangladesh,1,23.685,90.3563,29.492063
3,South Africa,1,-30.5595,22.9375,27.856322
3,Colombia,1,4.5709,-74.2973,20.025725
3,Afghanistan,1,33.0,65.0,11.541872
3,Egypt,1,26.0,30.0,11.256979
3,United Arab Emirates,1,24.0,54.0,10.517515
3,Bahrain,1,26.0275,50.55,8.995348
3,Indonesia,1,-0.7893,113.9213,8.588670
3,Bolivia,1,-16.2902,-63.5887,7.688560
3,Ghana,1,7.9465,-1.0232,7.288177
3,Nigeria,1,9.082,8.6753,7.123700
3,Oman,1,21.0,57.0,6.888342
3,Argentina,1,-38.4161,-63.6167,6.858511
3,Tajikistan,1,38.861034000000004,71.276093,6.400109
3,Belarus,1,53.7098,27.9534,5.662562
3,Sudan,1,12.8628,30.2176,5.232348
3,Dominican Republic,1,18.7357,-70.1627,5.191024
3,Armenia,1,40.0691,45.0382,5.156814
3,Honduras,1,15.2,-86.2419,4.232074
3,Azerbaijan,1,40.1431,47.5769,3.808976
3,Algeria,1,28.0339,1.6596,3.654078
3,Gabon,1,-0.8037,11.6094,3.449644
3,Guatemala,1,15.7835,-90.2308,3.126437
3,Zambia,1,-15.4167,28.2833,2.905857
3,Senegal,1,14.4974,-14.4524,2.663656
3,El Salvador,1,13.7942,-88.8965,2.591954
3,Congo (Kinshasa),1,-4.0383,21.7587,2.320744
3,Iraq,1,33.0,44.0,2.307882
3,Philippines,1,13.0,122.0,1.938150
3,Guinea-Bissau,1,11.8037,-15.1804,1.816092
3,Haiti,1,18.9712,-72.2852,1.781336
3,Mayotte,1,-12.8275,45.1662,1.610564
3,Moldova,1,47.4116,28.3699,1.397373
3,Chad,1,15.4542,18.7322,1.355227
3,Poland,1,51.9194,19.1451,1.214559
3,Central African Republic,1,6.6111,20.9394,1.148057
3,Kenya,1,-0.0236,37.9062,1.029283
3,South Sudan,1,6.877000000000001,31.307,1.025178
3,Sierra Leone,1,8.460555000000001,-11.779889,1.020799
