month,region,cluster,latitude,longitude,trend_line
1,Italy,3,43.0,12.0,230.46825396825395
1,US,3,37.0902,-95.7129,195.31554460864805
1,Spain,3,40.0,-4.0,142.1833607006021
1,Germany,3,51.0,9.0,123.21811713191023
1,France,2,46.2276,2.2137,71.688013136289
1,Iran,2,32.0,53.0,45.59140667761358
1,Switzerland,2,46.8182,8.2275,37.75369458128079
1,United Kingdom,1,55.3781,-3.4360000000000004,29.159277504105095
1,Netherlands,1,52.1326,5.2913,20.324028461959497
1,Austria,1,47.5162,14.5501,18.54734537493158
1,Belgium,1,50.8333,4.0,17.20032840722496
1,Brazil,0,-14.235,-51.9253,9.232621784345922
1,Portugal,0,39.3999,-8.2245,9.027367268746579
1,Norway,0,60.472,8.4689,8.860700602079913
1,Turkey,0,38.9637,35.2433,8.365626710454297
1,Sweden,0,63.0,16.0,6.861795292829775
1,Malaysia,0,2.5,112.5,5.89655172413793
1,Czechia,0,49.8175,15.472999999999999,5.747673782156541
1,Ecuador,0,-1.8312,-78.1834,5.010673234811166
1,Ireland,0,53.1424,-7.6921,4.904761904761903
1,Luxembourg,0,49.8153,6.1296,4.747126436781609
1,Israel,0,31.0,35.0,4.629994526546251
1,Denmark,0,56.2639,9.5018,4.4507389162561575
1,Pakistan,0,30.3753,69.3451,4.32183908045977
1,New South Wales,0,-33.8688,151.2093,3.604542966611932
1,Chile,0,-35.6751,-71.543,3.536945812807882
1,Poland,0,51.9194,19.1451,3.3639846743295014
1,Thailand,0,15.0,101.0,3.237000547345375
1,Finland,0,64.0,26.0,2.8711001642036127
1,Saudi Arabia,0,24.0,45.0,2.7402846195949646
1,Indonesia,0,-0.7893,113.9213,2.659003831417625
1,Iceland,0,64.9631,-19.0208,2.6299945265462505
1,Greece,0,39.0742,21.8243,2.4625068418171865
1,British Columbia,0,49.2827,-123.1207,2.176245210727969
1,Victoria,0,-37.8136,144.9631,2.062671045429666
1,Romania,0,45.9432,24.9668,2.0550082101806235
1,Ontario,0,51.2538,-85.3232,1.987411056376574
1,Peru,0,-9.19,-75.0152,1.973453749315818
1,Russia,0,60.0,90.0,1.9433497536945812
1,India,0,21.0,78.0,1.9033935413245757
1,Panama,0,8.538,-80.7821,1.8847837985769023
1,Philippines,0,13.0,122.0,1.8404488232074439
1,Mexico,0,23.6345,-102.5528,1.7252326217843459
1,Slovenia,0,46.1512,14.9955,1.6475095785440617
1,Argentina,0,-38.4161,-63.6167,1.5342090859332238
1,South Africa,0,-30.5595,22.9375,1.4822112753147239
1,Alberta,0,53.9333,-116.5765,1.4523809523809523
1,Japan,0,36.0,138.0,1.4050355774493706
1,Singapore,0,1.2833,103.8333,1.3825944170771753
1,Croatia,0,45.1,15.2,1.3727422003284073
